question,ground_truth
At what exact time did Emma call 911 to report the burglary?,10:56:34 p.m. on November 4 2025
How did Marcus and DeShawn gain entry into Emma's apartment?,They pried open the third‑floor balcony door using a screwdriver and jimmy bar.
Which musical instrument did Daniel Kim play across the hall?,A cello.
What meal was Emma cooking on the evening of the burglary?,Coq au vin.
What type of lock did locksmith Ravi Desai install on November 6 2025?,A Schlage deadbolt.
When and where was Marcus Boyd arrested according to Detective Whitaker?,9:42 a.m. on March 3 2026 during a traffic stop in Spokane.
How long did Jonah Kline speak with Emma on November 5 2025?,From 8:28 a.m. to 8:46 a.m. – 18 minutes.
What claim number did Emma receive from Evergreen Mutual?,EM231144.
When did Emma host a rooftop potluck marking one year after the burglary?,6:57 p.m. on November 5 2026.
At what time did the intruders force the balcony lock?,10:44 p.m. on November 4 2025.
